StationID,Northing,Easting
C04-MBP1,4618080,452300
C05-BEA1,4611550,451106
C05-BMP1,4616050,452144
C05-BMP2,4615040,452990
C05-EGG1,4615281,456196.7
C05-EGG2,4614501,455874.8
C06-BEA2,4610553,451554.9
C06-HMP1,4611830,452548
D02-BMT0,4640465.5,442542.5
D02-BMT1,4640482,444456
D02-BMT2,4640448.5,440629
D02-HUP0,4639559.25,442011.75
D02-JBS1,4644300,446955
D02-MDU1,4646060,447542
D02-MOP1,4640990.667,439938
D02-RCP1,4643468,442530
D02-SCP1,4641451.333,443127
D03-AFP1,4644103.333,440609
D03-AMP1,4646550.667,438005
D03-CHP1,4643668,436807
D03-GOM1,4647289.333,439467
D03-HOR1,4645302,442425
D03-MFP0,4645953.5,438516
D03-NPV1,4648471.5,439667
D03-STB1,4646616.667,444847
D04-DNP1,4646202.667,435016
D04-EDW0,4649028.778,436665.1111
D04-FGP1,4647531,437490
D04-RDP1,4648922,434928
D04-ROS0,4648638.833,442921.6667
D05-ADC1,4651061.333,433486
D05-BRP1,4651140.667,433167
D05-MHC1,4654039,431095
D05-MIA1,4652771.333,434129
D05-PRC1,4652503.333,431129
D06-KCG1,4658992.667,429421
D07-ASC0,4656793,426453
D07-BEC0,4659851.167,427040.8333
D07-NOC1,4660623.333,427273
D07-PLN1,4661968,425355
D08-BOR1,4665606,427092
D08-CCC1,4667808.667,423792
D08-DAW0,4664054.667,426145.8333
D08-DAW2,4665192.667,425502
D09-BON0,4671093.5,421507.5
D09-CLG0,4671095,424196.125
D09-RYW1,4669890,425325
D09-VTC1,4672819.333,423286
D10-CAN0,4676853.167,422557.1667
D10-KEM1,4678827,422642
D10-MAC1,4678479.333,423491
D10-VHC1,4674932.667,421816
J01-BBS1,4633118.667,449319
J01-CLP1,4640354,445913
J01-LMP1,4631877.333,449308
J01-NOR1,4634500,449545
J01-SEP1,4639028,446999
J01-SKP1,4636652.667,445154
J01-UIC1,4635430.667,446383
R02-ALT1,4636103,442607
R02-DPG1,4634510,441926
R02-FRP1,4634677.333,439183
R02-GFP1,4637147,440717
R03-AUP1,4637589.333,436203
R03-CPG1,4636259.333,435929
R03-EUC1,4635172.667,434285
R03-MAP1,4635417.333,433295
R04-MMW0,4633737.833,430949.6667
R04-MMW3,4634959,431311
R04-SCH1,4634100.667,429577
R05-FMG1,4633329.333,424224
R05-GOC1,4634340,426715
R05-MTC1,4635651,424431
R05-STP1,4637180.667,427869
R06-OTB1,4633860,418834
R06-SLT1,4635568,420847
R06-SLT2,4636301.333,420606
R06-YOW1,4634509.333,422550
R07-FSP1,4633727.333,415139
R07-GOF1,4635412.667,413527
R07-MMP1,4636279.333,416773
R07-YHR1,4635348,417861
R08-DAP1,4636476.667,410451
R08-PAP1,4634350.667,412095
R08-VLG1,4633917.333,411104
R08-WBK1,4632752,411883
R09-BLW1,4635212.667,404784
R09-CTG0,4633873.222,403768.5556
R09-LIM0,4636075.667,406726.8333
R09-SMI1,4634031.333,407666
R10-FRM1,4630452,395087
R10-FRM2,4632028,395829
R10-WCP0,4638166.667,398033.8889
R10-WDW0,4635589.5,401044.5
S02-BNS1,4629072.667,450739
S02-BRI1,4631037.333,442042
S02-CPR1,4632517,444272
S02-MCP1,4630690,443849
S02-PIP1,4631520.667,439385
S02-PLP1,4632667.333,446141
S02-TNW1,4630398,450118
S03-ARP1,4628447,439022
S03-JKP2,4626150.667,451796
S03-LCP1,4629399.333,437635
S03-PSP1,4626502,439199
S03-VIP1,4628109.333,437876
S03-WAP1,4629118.667,440288
S04-HAP1,4625681.333,435234
S04-OTW1,4629562,433244
S04-SSP1,4627802.667,433760
S04-VFP1,4626105,433888
S04-WEP1,4626634,435111
S05-LNC1,4621558.667,429760
S05-RES1,4623608,431534
S05-SFP0,4623378.725,428605.55
S06-CBW0,4619980.25,425656
S07-ARG1,4619020.5,419270
S07-ARG2,4617931.5,418417
S07-SAG1,4616369.333,422039
S07-STJ1,4616687.333,422440
S07-WGL0,4617031.333,421489
S08-WGL1,4616261.333,416857
S08-WGL2,4616051.333,417471
S09-ILC1,4610414,411176.6667
S09-KTP1,4614568.667,413952
S09-SMC1,4612192,415686
S09-VTW0,4613753.5,411742
S10-ILC1,4610111.333,410942
S10-LEW1,4605858.667,410239
S10-LPC1,4604962,412640
S10-LPP0,4604020.833,410627.3333
